,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,10/07/2020,10,07,2020,255,20,Afghanistan,AF,AFG,38041757.0,Asia,9.81290112
1,09/07/2020,09,07,2020,59,1,Afghanistan,AF,AFG,38041757.0,Asia,10.35178265
2,08/07/2020,08,07,2020,210,16,Afghanistan,AF,AFG,38041757.0,Asia,10.81180346
3,07/07/2020,07,07,2020,433,56,Afghanistan,AF,AFG,38041757.0,Asia,11.14827583
4,06/07/2020,06,07,2020,279,38,Afghanistan,AF,AFG,38041757.0,Asia,10.82494691
5,05/07/2020,05,07,2020,348,7,Afghanistan,AF,AFG,38041757.0,Asia,11.16667666
6,04/07/2020,04,07,2020,302,12,Afghanistan,AF,AFG,38041757.0,Asia,11.68715735
7,03/07/2020,03,07,2020,186,33,Afghanistan,AF,AFG,38041757.0,Asia,11.80281973
8,02/07/2020,02,07,2020,319,28,Afghanistan,AF,AFG,38041757.0,Asia,13.04356158
9,01/07/2020,01,07,2020,279,13,Afghanistan,AF,AFG,38041757.0,Asia,13.68759072
10,30/06/2020,30,06,2020,271,12,Afghanistan,AF,AFG,38041757.0,Asia,15.01245066
11,29/06/2020,29,06,2020,351,18,Afghanistan,AF,AFG,38041757.0,Asia,16.30050894
12,28/06/2020,28,06,2020,165,20,Afghanistan,AF,AFG,38041757.0,Asia,17.12328902
13,27/06/2020,27,06,2020,276,8,Afghanistan,AF,AFG,38041757.0,Asia,18.15110695
14,26/06/2020,26,06,2020,460,36,Afghanistan,AF,AFG,38041757.0,Asia,19.15000929
15,25/06/2020,25,06,2020,234,21,Afghanistan,AF,AFG,38041757.0,Asia,19.90444343
16,24/06/2020,24,06,2020,338,20,Afghanistan,AF,AFG,38041757.0,Asia,21.08735409
17,23/06/2020,23,06,2020,310,17,Afghanistan,AF,AFG,38041757.0,Asia,21.62360692
18,22/06/2020,22,06,2020,409,12,Afghanistan,AF,AFG,38041757.0,Asia,22.32020987
19,21/06/2020,21,06,2020,546,21,Afghanistan,AF,AFG,38041757.0,Asia,23.32436959
